Time,Velocity_L,Velocity_R
5.780848265,6.60742569,0
5.80070138,7.452585697,0
5.82087946,7.739096642,0
5.841146708,7.24777317,0
5.861376047,6.532045364,0
5.881939173,7.250695705,0
5.901208401,7.5520854,0
5.920782328,7.521955967,0
5.94060874,6.876302719,0
5.961716414,6.668388844,0
5.981083155,7.232294083,0
6.001095057,7.712197781,0
6.020950794,7.250110149,0
6.040670633,6.553936958,0
6.060865402,6.884810448,0
6.080977678,7.722418785,0
6.102286101,7.279620171,0
6.120593548,6.518601418,0
6.142169714,6.805392265,0
6.160747528,7.726602077,0
6.181805849,7.352751732,0
6.20181346,6.678808212,0
6.220550537,6.82322073,0
6.240924597,7.662955284,0
6.261239767,7.643576145,0
6.28183198,6.713876724,0
6.300730705,6.791269302,0
6.32050252,7.67129612,0
6.340819597,7.376673698,0
6.360607863,6.595575333,0
6.38073206,7.650134563,0
6.400756359,7.718416691,0
6.421450377,7.416740417,0
6.441044092,6.595166206,0
6.461473704,6.996225357,0
6.481449604,7.334767818,0
6.500726462,7.755043507,0
6.520662308,7.158269882,0
6.541390896,6.697075844,0
6.560629368,7.600052834,0
6.581027746,7.506016731,0
6.601471901,6.614928722,0
6.621882677,6.932789326,0
6.641568422,7.551424503,0
6.66063118,7.518810749,0
6.681413174,6.874194622,0
6.702021837,6.687971115,0
6.720759153,7.519631386,0
6.740701676,7.675278664,0
6.760993004,6.937984943,0
6.781004906,6.624015331,0
6.801450253,7.173680782,0
6.821047545,7.730968952,0
6.842238426,6.972671032,0
6.861356735,6.542207241,0
6.881186485,7.15756321,0
6.900698185,7.748236179,0
6.92080307,7.354952812,0
6.94171238,6.565194607,0
6.96108079,7.097034931,0
6.981209278,7.668854237,0
7.001189232,7.391447067,0
7.021124125,6.731883049,0
7.041258335,6.780941486,0
7.061074019,7.637242794,0
7.080960274,7.649287224,0
7.100846529,6.763411522,0
7.121026755,6.579469204,0
7.140937567,7.367884636,0
7.160981417,7.668518543,0
7.181408882,6.821041107,0
7.201220989,6.567852497,0
7.221257687,7.309773922,0
7.241343737,7.685632229,0
7.261301994,6.82865715,0
7.281340838,6.688220024,0
7.301442385,7.570127487,0
7.321299553,7.707881451,0
7.341265202,6.866662025,0
7.360939026,6.683279514,0
7.381180525,7.71716404,0
7.401880264,7.546880722,0
7.4219203,7.226307869,0
7.44136262,6.539187908,0
7.461544752,7.222742558,0
7.485170841,7.706249237,0
